"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
- Year 2017-18 Budgeted Expenditures as of 10/25/2017
Fiscal Transparency Terminology: https://www.ousd.org/Page/14202 ",,,,,,,,,
 Fund,"Resource 
Type", Resource,Site Type, Site,Budget Category,Budget,Actual Spent,Encumbrance,Balance 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,999 - Districtwide Expenses,4392 - MID-YEAR ADJUSTMENT,"($303,925)",$0 ,$0 ,"($303,925.37)"
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,999 - Districtwide Expenses,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,999 - Districtwide Expenses,7310 - INTERPROGRAM SUPPORT/COSTS,"$951,400 ",$0 ,$0 ,"$951,400.00 "
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,999 - Districtwide Expenses,7310 - INTERPROGRAM SUPPORT/COSTS,"$95,756 ","$28,801 ",$0 ,"$66,954.93 "
01 - GENERAL FUND,RESTRICTED,4201 - TITLE III IMMIGRANT EDUC PROG,District Wide,999 - Districtwide Expenses,7310 - INTERPROGRAM SUPPORT/COSTS,"$20,988 ","$3,752 ",$0 ,"$17,235.99 "
01 - GENERAL FUND,RESTRICTED,4203 - TITLE III LEP STUDENT PROGRAM,District Wide,999 - Districtwide Expenses,4391 - CARRYOVER - PRIOR YEAR,"$46,723 ",$0 ,$0 ,"$46,723.00 "
01 - GENERAL FUND,RESTRICTED,4203 - TITLE III LEP STUDENT PROGRAM,District Wide,999 - Districtwide Expenses,4392 - MID-YEAR ADJUSTMENT,"$81,581 ",$0 ,$0 ,"$81,581.00 "
01 - GENERAL FUND,RESTRICTED,4203 - TITLE III LEP STUDENT PROGRAM,District Wide,999 - Districtwide Expenses,7310 - INTERPROGRAM SUPPORT/COSTS,"$31,222 ","$8,770 ",$0 ,"$22,452.01 "
01 - GENERAL FUND,RESTRICTED,9006 - OAK PUBLIC ED FUND,District Wide,999 - Districtwide Expenses,4391 - CARRYOVER - PRIOR YEAR,"$80,000 ",$0 ,$0 ,"$80,000.00 "
